order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,region,city,state,postal_code,category,sub_category,product_id,product_name,sales,quantity,discount,profit,profit_margin,order_year,order_month,order_year_month
ORD-2023-101880,2023-01-18,2023-01-25,Same Day,CUST-00067,David Lopez,Consumer,Central,Dallas,Texas,85119.0,Office Supplies,Binders,OFF-BIN-1180,Heavy-Duty Binder,95.92,4,0.0,28.3,0.295,2023,1,2023-01
ORD-2023-103122,2021-03-02,2021-03-03,First Class,CUST-03247,Ahmed Johnson,Home Office,South,Charlotte,North Carolina,63279.0,Office Supplies,Paper,OFF-PAP-6773,Cardstock Paper,602.31,6,0.15,77.73,0.1291,2021,3,2021-03
ORD-2022-103316,2021-09-22,2021-09-23,First Class,CUST-03528,Ahmed Khan,Consumer,South,Miami,Florida,77080.0,Office Supplies,Binders,OFF-BIN-2071,View Binder,8.14,1,0.2,0.44,0.0541,2021,9,2021-09
ORD-2021-108313,2022-09-01,2022-01-13,Standard Class,CUST-00483,Patricia Lopez,Home Office,South,Atlanta,Georgia,66010.0,Office Supplies,Binders,OFF-BIN-1314,3-Ring Binder,633.72,12,0.0,115.82,0.1828,2022,9,2022-09
ORD-2023-100590,2022-11-06,2022-06-18,Same Day,CUST-03068,Jennifer Smith,Consumer,Central,Dallas,Texas,30431.0,Office Supplies,Storage,OFF-STO-0847,Plastic Storage Bin,520.88,12,0.3,120.26,0.2309,2022,11,2022-11
ORD-2022-100106,2023-03-24,2023-03-26,First Class,CUST-04229,Carlos Wilson,Corporate,South,Orlando,Florida,83731.0,Office Supplies,Storage,OFF-STO-4246,Metal Storage Cabinet,364.74,8,0.2,110.46,0.3028,2023,3,2023-03
ORD-2023-104556,2021-09-12,2021-09-15,Standard Class,CUST-04385,Carlos Thomas,Corporate,East,Newark,New Jersey,20529.0,Technology,Phones,TEC-PHO-0151,Cordless Phone,9707.83,9,0.2,1516.38,0.1562,2021,9,2021-09
ORD-2021-101791,2023-10-12,2023-10-17,First Class,CUST-00234,Sofia Anderson,Corporate,South,Atlanta,Georgia,90748.0,Technology,Copiers,TEC-COP-4248,Office Copier Pro,9974.88,10,0.2,-62.57,-0.0063,2023,10,2023-10
ORD-2023-102012,2021-11-06,2021-11-10,First Class,CUST-04849,Ahmed Davis,Home Office,Central,Detroit,Michigan,45830.0,Technology,Copiers,TEC-COP-4248,Office Copier Pro,1529.8,1,0.0,192.52,0.1258,2021,11,2021-11
ORD-2022-101516,2021-09-04,2021-04-11,Standard Class,CUST-00769,Wei Anderson,Corporate,Central,Detroit,Michigan,14917.0,Technology,Copiers,TEC-COP-9024,Desktop Copier,1079.02,2,0.15,279.72,0.2592,2021,9,2021-09
ORD-2021-106333,2022-02-25,2022-03-04,Second Class,CUST-04263,Carlos Chen,Corporate,East,Newark,New Jersey,49126.0,Office Supplies,Storage,OFF-STO-0847,Plastic Storage Bin,374.41,7,0.1,88.45,0.2362,2022,2,2022-02
ORD-2021-106849,2021-12-15,2021-12-17,Same Day,CUST-01490,James Smith,Consumer,South,Miami,Florida,,Office Supplies,Labels,OFF-LAB-6630,Address Labels,232.78,3,0.2,78.72,0.3382,2021,12,2021-12
ORD-2023-107379,2022-02-05,2022-02-10,Same Day,CUST-01184,Wei Wilson,Home Office,Central,Houston,Texas,91412.0,Technology,Machines,TEC-MAC-0091,Laser Printer,13495.28,10,0.15,2134.27,0.1581,2022,2,2022-02
ORD-2023-100035,2022-04-08,2022-04-13,Second Class,CUST-02633,Ahmed Patel,Corporate,Central,Detroit,Michigan,82350.0,Office Supplies,Labels,OFF-LAB-6675,Round Labels,1152.9,10,0.0,365.42,0.317,2022,4,2022-04
ORD-2022-108497,2023-09-28,2023-09-30,Same Day,CUST-02832,Fatima Johnson,Home Office,South,Miami,Florida,75128.0,Furniture,Bookcases,FUR-BOO-3078,5-Shelf Bookcase,4605.38,7,0.2,325.84,0.0708,2023,9,2023-09
ORD-2021-108397,2021-12-28,2021-12-29,Standard Class,CUST-01130,Priya Lopez,Home Office,South,Atlanta,Georgia,21473.0,Furniture,Chairs,FUR-CHA-9053,Stackable Conference Chair,1526.98,12,0.2,-49.24,-0.0322,2021,12,2021-12
ORD-2022-103286,2021-05-11,2021-05-13,Standard Class,CUST-00017,Carlos Anderson,Consumer,Central,Dallas,Texas,15695.0,Office Supplies,Storage,OFF-STO-8893,"Storage Box, Letter Size",280.42,3,0.1,82.42,0.2939,2021,5,2021-05
ORD-2021-102127,2022-09-18,2022-09-22,Standard Class,CUST-04966,David Williams,Home Office,East,Newark,New Jersey,89222.0,Office Supplies,Storage,OFF-STO-4246,Metal Storage Cabinet,149.19,3,0.0,40.73,0.273,2022,9,2022-09
ORD-2021-105328,2023-04-21,2023-04-28,Standard Class,CUST-00198,William Chen,Corporate,East,New York,New York,94471.0,Office Supplies,Binders,OFF-BIN-2071,View Binder,86.09,1,0.0,30.79,0.3576,2023,4,2023-04
ORD-2021-103060,2023-11-14,2023-11-16,Second Class,CUST-00005,Linda Davis,Home Office,Central,Dallas,Texas,84708.0,Technology,Machines,TEC-MAC-0091,Laser Printer,298.04,2,0.1,-11.78,-0.0395,2023,11,2023-11
ORD-2021-108406,2022-08-18,2022-08-25,Second Class,CUST-02214,Linda Anderson,Home Office,South,Atlanta,Georgia,27328.0,Office Supplies,Art,OFF-ART-9210,Round Pencils,912.99,11,0.3,335.43,0.3674,2022,8,2022-08
ORD-2021-109210,2021-04-16,2021-04-17,Same Day,CUST-01931,Linda Smith,Corporate,Central,Dallas,Texas,90429.0,Office Supplies,Art,OFF-ART-6965,Sketch Pad,1189.54,11,0.0,131.35,0.1104,2021,4,2021-04
ORD-2022-101369,2023-06-11,2023-11-10,Second Class,CUST-00217,Michael Martinez,Home Office,West,San Diego,California,96987.0,Office Supplies,Binders,OFF-BIN-2071,View Binder,67.12,1,0.3,11.24,0.1675,2023,6,2023-06
ORD-2021-108598,2023-12-01,2023-12-02,Same Day,CUST-04565,Elizabeth Khan,Home Office,Central,Chicago,Illinois,14701.0,Office Supplies,Paper,OFF-PAP-6773,Cardstock Paper,130.14,2,0.1,22.97,0.1765,2023,12,2023-12
ORD-2021-103918,2021-02-08,2021-02-15,Second Class,CUST-01243,James Garcia,Home Office,South,Orlando,Florida,20518.0,Furniture,Tables,FUR-TAB-3903,Glass Top Coffee Table,3460.0,5,0.2,261.59,0.0756,2021,2,2021-02
ORD-2021-100735,2021-05-10,2021-05-12,Same Day,CUST-04914,Michael Anderson,Consumer,West,San Diego,California,86854.0,Technology,Accessories,TEC-ACC-3241,Wireless Mouse,7395.41,6,0.2,749.45,0.1013,2021,5,2021-05
ORD-2021-109177,2023-08-18,2023-08-23,Second Class,CUST-00217,Michael Martinez,Consumer,West,San Diego,California,70994.0,Office Supplies,Art,OFF-ART-9210,Round Pencils,325.92,5,0.2,94.86,0.2911,2023,8,2023-08
ORD-2022-108317,2021-06-30,2021-07-05,Same Day,CUST-04720,Elizabeth Smith,Home Office,Central,Detroit,Michigan,23604.0,Office Supplies,Paper,OFF-PAP-0305,Multipurpose Copy Paper,331.38,7,0.5,101.16,0.3053,2021,6,2021-06
ORD-2022-104375,2022-09-20,2022-09-25,First Class,CUST-00644,Robert Thomas,Home Office,Central,Chicago,Illinois,51150.0,Furniture,Furnishings,FUR-FUR-5711,Filing Cabinet,3876.62,5,0.1,-284.55,-0.0734,2022,9,2022-09
ORD-2022-101261,2021-08-14,2021-08-19,Same Day,CUST-04412,Robert Lopez,Home Office,Central,Houston,Texas,75341.0,Office Supplies,Storage,OFF-STO-0847,Plastic Storage Bin,491.05,10,0.15,83.7,0.1705,2021,8,2021-08
ORD-2022-104879,2022-06-03,2022-03-10,First Class,CUST-01207,Maria Garcia,Home Office,Central,Houston,Texas,58420.0,Technology,Machines,TEC-MAC-2383,Label Maker,3568.34,2,0.0,845.23,0.2369,2022,6,2022-06
ORD-2021-105298,2021-06-13,2021-06-18,Same Day,CUST-04638,Jennifer Anderson,Home Office,West,Seattle,Washington,89914.0,Office Supplies,Art,OFF-ART-6965,Sketch Pad,76.1,2,0.2,25.65,0.3371,2021,6,2021-06
ORD-2022-108218,2023-06-17,2023-06-18,Second Class,CUST-00352,Carlos Garcia,Consumer,West,Los Angeles,California,52394.0,Technology,Phones,TEC-PHO-0591,Smartphone X200,5128.12,4,0.15,435.83,0.085,2023,6,2023-06
ORD-2022-101606,2021-07-31,2021-08-04,First Class,CUST-01980,Maria Johnson,Corporate,Central,Houston,Texas,65569.0,Office Supplies,Paper,OFF-PAP-2839,Recycled Printer Paper,131.91,6,0.5,47.58,0.3607,2021,7,2021-07
ORD-2022-105566,2021-12-21,2021-12-26,Standard Class,CUST-04688,Ahmed Smith,Consumer,South,Charlotte,North Carolina,16506.0,Furniture,Bookcases,FUR-BOO-3421,Corner Bookcase,3864.76,7,0.15,355.88,0.0921,2021,12,2021-12
ORD-2023-103548,2021-01-08,2021-01-10,Standard Class,CUST-02326,Maria Kim,Consumer,South,Atlanta,Georgia,24663.0,Office Supplies,Art,OFF-ART-6965,Sketch Pad,417.53,4,0.1,105.47,0.2526,2021,1,2021-01
ORD-2021-106483,2023-03-16,2023-03-23,Second Class,CUST-03586,Linda Khan,Consumer,Central,Chicago,Illinois,89673.0,Office Supplies,Binders,OFF-BIN-2071,View Binder,535.86,7,0.2,161.81,0.302,2023,3,2023-03
ORD-2021-108196,2023-01-17,2023-01-21,Same Day,CUST-00080,Robert Chen,Corporate,East,New York,New York,68468.0,Office Supplies,Paper,OFF-PAP-6773,Cardstock Paper,77.16,1,0.3,11.12,0.1441,2023,1,2023-01
ORD-2021-105700,2021-12-09,2021-11-12,Second Class,CUST-00010,James Johnson,Corporate,Central,Detroit,Michigan,63063.0,Technology,Machines,TEC-MAC-2383,Label Maker,205.65,5,0.1,11.67,0.0567,2021,12,2021-12
ORD-2022-104417,2023-02-28,2023-05-03,Same Day,CUST-02045,James Anderson,Home Office,South,Miami,Florida,38402.0,Furniture,Tables,FUR-TAB-6045,Adjustable Height Desk,929.99,6,0.1,0.75,0.0008,2023,2,2023-02
ORD-2023-103059,2022-04-27,2022-04-29,Second Class,CUST-03883,David Davis,Consumer,Central,Detroit,Michigan,65106.0,Furniture,Tables,FUR-TAB-3651,Round Conference Table,278.85,2,0.15,-14.6,-0.0524,2022,4,2022-04
ORD-2023-100119,2023-12-31,2024-01-05,Same Day,CUST-00508,Wei Johnson,Corporate,East,New York,New York,23886.0,Technology,Accessories,TEC-ACC-3241,Wireless Mouse,10420.01,11,0.15,1831.43,0.1758,2023,12,2023-12
ORD-2023-103524,2021-08-14,2021-08-18,Standard Class,CUST-00594,Michael Wilson,Home Office,Central,Houston,Texas,78272.0,Office Supplies,Art,OFF-ART-6965,Sketch Pad,73.84,7,0.1,9.99,0.1353,2021,8,2021-08
ORD-2022-104345,2022-11-08,2022-10-11,Standard Class,CUST-00412,William Smith,Corporate,Central,Houston,Texas,62080.0,Office Supplies,Binders,OFF-BIN-2071,View Binder,219.31,3,0.2,76.22,0.3475,2022,11,2022-11
ORD-2023-108603,2023-10-21,2023-10-23,First Class,CUST-04011,Michael Miller,Home Office,East,Boston,Massachusetts,,Technology,Copiers,TEC-COP-9024,Desktop Copier,669.11,2,0.1,196.77,0.2941,2023,10,2023-10
ORD-2021-105205,2022-11-17,2022-11-20,First Class,CUST-03028,Carlos Brown,Consumer,West,Seattle,Washington,,Furniture,Tables,FUR-TAB-4507,Folding Utility Table,838.52,5,0.15,-86.3,-0.1029,2022,11,2022-11
ORD-2023-107493,2022-01-20,2022-01-22,First Class,CUST-03064,Fatima Wilson,Home Office,Central,Detroit,Michigan,80644.0,Office Supplies,Art,OFF-ART-6965,Sketch Pad,178.72,8,0.0,10.98,0.0614,2022,1,2022-01
ORD-2021-101803,2021-12-25,2021-12-30,Standard Class,CUST-01265,Robert Martinez,Consumer,South,Orlando,Florida,14045.0,Office Supplies,Storage,OFF-STO-0847,Plastic Storage Bin,12.36,1,0.5,2.74,0.2217,2021,12,2021-12
ORD-2021-104002,2023-06-12,2023-12-08,Same Day,CUST-03942,Maria Thomas,Corporate,South,Orlando,Florida,14975.0,Furniture,Chairs,FUR-CHA-9419,Mesh Task Chair,7194.24,10,0.2,866.93,0.1205,2023,6,2023-06
ORD-2021-107461,2021-05-15,2021-05-17,Standard Class,CUST-02061,Fatima Anderson,Consumer,West,San Francisco,California,48562.0,Technology,Accessories,TEC-ACC-1689,USB Keyboard,15985.84,12,0.1,3180.83,0.199,2021,5,2021-05
ORD-2022-102389,2021-12-09,2021-09-13,Same Day,CUST-00266,James Miller,Home Office,West,Seattle,Washington,36934.0,Technology,Machines,TEC-MAC-0091,Laser Printer,13801.6,10,0.0,4105.19,0.2974,2021,12,2021-12
ORD-2022-103742,2022-04-03,2022-04-04,Standard Class,CUST-00079,Robert Patel,Consumer,West,Seattle,Washington,77941.0,Office Supplies,Storage,OFF-STO-8893,"Storage Box, Letter Size",25.37,1,0.2,3.76,0.1482,2022,4,2022-04
ORD-2022-101618,2022-05-28,2022-01-06,Standard Class,CUST-04634,Linda Thomas,Consumer,East,Boston,Massachusetts,40858.0,Office Supplies,Labels,OFF-LAB-6675,Round Labels,1165.8,10,0.0,443.49,0.3804,2022,5,2022-05
ORD-2022-108329,2022-02-22,2022-02-23,Second Class,CUST-02623,Robert Davis,Consumer,East,Philadelphia,Pennsylvania,87617.0,Technology,Machines,TEC-MAC-2383,Label Maker,2774.25,3,0.0,795.08,0.2866,2022,2,2022-02
ORD-2022-100850,2021-10-08,2021-08-14,Standard Class,CUST-00641,Ahmed Kim,Home Office,South,Miami,Florida,63549.0,Furniture,Chairs,FUR-CHA-9419,Mesh Task Chair,3921.68,10,0.3,108.38,0.0276,2021,10,2021-10
ORD-2021-102412,2021-06-27,2021-06-28,First Class,CUST-02814,Michael Chen,Consumer,West,San Diego,California,52730.0,Furniture,Chairs,FUR-CHA-5660,Ergonomic Office Chair,4254.42,8,0.15,949.05,0.2231,2021,6,2021-06
ORD-2023-105138,2021-02-23,2021-02-27,Standard Class,CUST-03198,Michael Kim,Home Office,Central,Houston,Texas,95863.0,Technology,Phones,TEC-PHO-0151,Cordless Phone,6836.81,10,0.15,871.31,0.1274,2021,2,2021-02
ORD-2023-105603,2022-01-08,2022-01-15,Standard Class,CUST-00121,Elizabeth Davis,Consumer,South,Atlanta,Georgia,80061.0,Furniture,Tables,FUR-TAB-6045,Adjustable Height Desk,993.35,9,0.15,166.84,0.168,2022,1,2022-01
ORD-2023-102417,2022-01-11,2022-01-14,Second Class,CUST-03966,James Williams,Corporate,East,Philadelphia,Pennsylvania,56175.0,Furniture,Furnishings,FUR-FUR-1186,Desk Lamp,4807.01,12,0.2,-669.62,-0.1393,2022,1,2022-01
ORD-2021-100033,2022-02-02,2022-02-05,Second Class,CUST-00764,Jennifer Thomas,Consumer,Central,Chicago,Illinois,11607.0,Technology,Machines,TEC-MAC-2383,Label Maker,1491.33,1,0.15,289.46,0.1941,2022,2,2022-02
ORD-2022-100733,2021-12-13,2021-12-20,Standard Class,CUST-04804,Elizabeth Lopez,Corporate,West,San Diego,California,10436.0,Furniture,Tables,FUR-TAB-3903,Glass Top Coffee Table,1405.36,2,0.0,350.15,0.2492,2021,12,2021-12
ORD-2023-109698,2022-02-06,2022-02-10,Standard Class,CUST-02847,Robert Khan,Consumer,East,New York,New York,14687.0,Furniture,Tables,FUR-TAB-6045,Adjustable Height Desk,6436.54,11,0.0,-622.69,-0.0967,2022,2,2022-02
ORD-2023-109140,2023-05-12,2023-05-15,First Class,CUST-04578,Fatima Chen,Consumer,East,New York,New York,64814.0,Office Supplies,Art,OFF-ART-3836,Highlighter Set,470.96,10,0.2,145.43,0.3088,2023,5,2023-05
ORD-2023-102498,2021-05-22,2021-05-25,Standard Class,CUST-00352,Carlos Garcia,Home Office,South,Charlotte,North Carolina,16840.0,Furniture,Tables,FUR-TAB-3651,Round Conference Table,2388.76,11,0.0,-13.74,-0.0058,2021,5,2021-05
ORD-2022-105680,2021-12-15,2021-12-18,Same Day,CUST-03881,Robert Wilson,Corporate,West,Los Angeles,California,11677.0,Furniture,Tables,FUR-TAB-4507,Folding Utility Table,1380.74,7,0.2,250.47,0.1814,2021,12,2021-12
ORD-2021-100096,2023-04-01,2023-04-08,First Class,CUST-01028,Linda Miller,Consumer,South,Orlando,Florida,57127.0,Technology,Phones,TEC-PHO-0151,Cordless Phone,2502.47,7,0.2,710.48,0.2839,2023,4,2023-04
ORD-2023-103605,2023-07-25,2023-07-30,Same Day,CUST-00378,David Miller,Corporate,South,Charlotte,North Carolina,59438.0,Office Supplies,Labels,OFF-LAB-6675,Round Labels,895.21,9,0.1,285.31,0.3187,2023,7,2023-07
ORD-2022-106391,2023-04-17,2023-04-21,Same Day,CUST-03221,Wei Kim,Consumer,East,Boston,Massachusetts,72415.0,Furniture,Bookcases,FUR-BOO-2204,Modular Bookcase Unit,3435.95,10,0.15,-359.62,-0.1047,2023,4,2023-04
ORD-2022-102128,2022-02-03,2022-02-04,Standard Class,CUST-00863,Linda Wilson,Home Office,Central,Detroit,Michigan,18982.0,Office Supplies,Binders,OFF-BIN-2071,View Binder,650.58,6,0.0,153.1,0.2353,2022,2,2022-02
ORD-2023-104700,2021-06-08,2021-08-10,First Class,CUST-02847,Robert Khan,Corporate,East,Philadelphia,Pennsylvania,95616.0,Technology,Machines,TEC-MAC-2383,Label Maker,5687.43,7,0.0,222.59,0.0391,2021,6,2021-06
ORD-2022-100799,2021-07-29,2021-07-31,First Class,CUST-03740,Linda Chen,Corporate,Central,Chicago,Illinois,44302.0,Technology,Copiers,TEC-COP-4248,Office Copier Pro,10178.96,7,0.15,-453.26,-0.0445,2021,7,2021-07
ORD-2022-104339,2022-06-25,2022-06-27,Second Class,CUST-03269,Patricia Thomas,Consumer,West,Los Angeles,California,67616.0,Office Supplies,Paper,OFF-PAP-0305,Multipurpose Copy Paper,35.76,12,0.0,12.89,0.3605,2022,6,2022-06
ORD-2022-100031,2021-01-21,2021-01-26,Standard Class,CUST-04966,David Williams,Consumer,South,Charlotte,North Carolina,97026.0,Office Supplies,Paper,OFF-PAP-6773,Cardstock Paper,563.18,8,0.1,184.46,0.3275,2021,1,2021-01
ORD-2022-108314,2023-06-02,2023-06-06,Second Class,CUST-01028,Linda Miller,Home Office,West,San Francisco,California,37078.0,Furniture,Furnishings,FUR-FUR-7622,Wall Clock,2961.6,4,0.0,-418.62,-0.1413,2023,6,2023-06
ORD-2021-108763,2021-09-22,2021-09-23,Second Class,CUST-04313,Elizabeth Anderson,Corporate,West,Seattle,Washington,42867.0,Office Supplies,Art,OFF-ART-6965,Sketch Pad,820.44,9,0.0,215.65,0.2628,2021,9,2021-09
ORD-2022-105278,2023-01-18,2023-01-23,Second Class,CUST-04526,Robert Williams,Consumer,East,Philadelphia,Pennsylvania,62700.0,Technology,Phones,TEC-PHO-0151,Cordless Phone,129.72,3,0.0,16.41,0.1265,2023,1,2023-01
ORD-2022-101330,2022-04-01,2022-05-04,Standard Class,CUST-01031,Fatima Kim,Consumer,Central,Detroit,Michigan,49119.0,Technology,Machines,TEC-MAC-0091,Laser Printer,354.25,12,0.15,77.47,0.2187,2022,4,2022-04
ORD-2021-101383,2021-02-14,2021-02-21,Second Class,CUST-02026,Sofia Davis,Home Office,South,Miami,Florida,73894.0,Furniture,Tables,FUR-TAB-3903,Glass Top Coffee Table,332.33,1,0.0,-43.44,-0.1307,2021,2,2021-02
ORD-2022-107915,2021-07-30,2021-07-31,Second Class,CUST-03543,Linda Williams,Corporate,East,Philadelphia,Pennsylvania,77778.0,Office Supplies,Art,OFF-ART-9210,Round Pencils,43.34,3,0.3,4.93,0.1138,2021,7,2021-07
ORD-2022-101981,2022-10-05,2022-12-10,Standard Class,CUST-02645,Carlos Smith,Home Office,East,Newark,New Jersey,34307.0,Office Supplies,Storage,OFF-STO-0847,Plastic Storage Bin,160.14,6,0.5,33.04,0.2063,2022,10,2022-10
ORD-2022-103016,2021-11-26,2021-01-12,Second Class,CUST-04778,Linda Brown,Home Office,Central,Houston,Texas,71837.0,Furniture,Chairs,FUR-CHA-9053,Stackable Conference Chair,5717.44,8,0.0,-453.18,-0.0793,2021,11,2021-11
ORD-2022-106715,2023-09-24,2023-09-28,Second Class,CUST-03676,David Smith,Consumer,Central,Dallas,Texas,88812.0,Technology,Copiers,TEC-COP-4248,Office Copier Pro,1609.45,1,0.0,410.38,0.255,2023,9,2023-09
ORD-2022-107072,2023-04-26,2023-04-27,Second Class,CUST-01542,Linda Martinez,Corporate,Central,Detroit,Michigan,65384.0,Furniture,Chairs,FUR-CHA-9053,Stackable Conference Chair,4167.9,11,0.0,902.98,0.2167,2023,4,2023-04
ORD-2023-102894,2022-06-05,2022-05-08,First Class,CUST-03368,Ahmed Garcia,Corporate,East,Newark,New Jersey,52960.0,Office Supplies,Paper,OFF-PAP-6773,Cardstock Paper,75.67,9,0.2,18.09,0.2391,2022,6,2022-06
ORD-2022-107585,2023-02-25,2023-03-02,First Class,CUST-04633,Jennifer Garcia,Consumer,East,Boston,Massachusetts,50346.0,Technology,Accessories,TEC-ACC-3241,Wireless Mouse,1334.67,4,0.15,-37.34,-0.028,2023,2,2023-02
ORD-2022-109130,2023-07-12,2023-07-15,Second Class,CUST-01894,Carlos Lopez,Corporate,East,Philadelphia,Pennsylvania,40399.0,Technology,Copiers,TEC-COP-4248,Office Copier Pro,13271.04,12,0.1,2197.82,0.1656,2023,7,2023-07
ORD-2022-101825,2023-02-11,2023-02-13,First Class,CUST-03751,Jennifer Davis,Home Office,West,San Francisco,California,79529.0,Office Supplies,Storage,OFF-STO-8893,"Storage Box, Letter Size",417.51,5,0.1,70.41,0.1686,2023,2,2023-02
ORD-2021-108634,2021-11-25,2021-12-02,Second Class,CUST-04526,Robert Williams,Home Office,East,Philadelphia,Pennsylvania,17882.0,Furniture,Chairs,FUR-CHA-5660,Ergonomic Office Chair,1744.16,5,0.15,-130.54,-0.0748,2021,11,2021-11
ORD-2021-103132,2023-03-08,2023-03-13,Same Day,CUST-02853,Ahmed Lopez,Corporate,East,Philadelphia,Pennsylvania,25515.0,Technology,Copiers,TEC-COP-4248,Office Copier Pro,10940.28,12,0.0,1987.5,0.1817,2023,3,2023-03
ORD-2021-101512,2022-11-06,2022-11-09,Same Day,CUST-03099,Michael Williams,Home Office,South,Orlando,Florida,18760.0,Technology,Machines,TEC-MAC-2383,Label Maker,1970.04,6,0.0,-90.24,-0.0458,2022,11,2022-11
ORD-2023-108993,2023-11-25,2023-11-28,Standard Class,CUST-00594,Michael Wilson,Corporate,South,Atlanta,Georgia,76335.0,Furniture,Chairs,FUR-CHA-4944,Executive Leather Chair,4927.86,6,0.0,-349.67,-0.071,2023,11,2023-11
ORD-2021-100039,2023-07-21,2023-07-22,Same Day,CUST-01894,Carlos Lopez,Corporate,East,Newark,New Jersey,81987.0,Technology,Phones,TEC-PHO-5919,VoIP Desk Phone,7629.3,9,0.0,1002.9,0.1315,2023,7,2023-07
ORD-2023-107469,2021-12-20,2021-12-22,Standard Class,CUST-04016,Jennifer Khan,Corporate,Central,Houston,Texas,88507.0,Technology,Accessories,TEC-ACC-6995,Laptop Stand,13359.26,11,0.1,188.69,0.0141,2021,12,2021-12
ORD-2022-101543,2023-04-10,2023-04-17,Second Class,CUST-04385,Carlos Thomas,Home Office,South,Atlanta,Georgia,96705.0,Office Supplies,Binders,OFF-BIN-1314,3-Ring Binder,74.11,5,0.1,9.45,0.1275,2023,4,2023-04
ORD-2023-109329,2021-04-26,2021-05-03,Same Day,CUST-02741,Wei Martinez,Consumer,West,San Francisco,California,35229.0,Furniture,Tables,FUR-TAB-3903,Glass Top Coffee Table,2526.58,5,0.3,406.36,0.1608,2021,4,2021-04
ORD-2021-109396,2021-08-22,2021-08-23,Standard Class,CUST-01632,Priya Kim,Corporate,East,Boston,Massachusetts,22788.0,Office Supplies,Paper,OFF-PAP-0305,Multipurpose Copy Paper,338.76,12,0.0,71.26,0.2104,2021,8,2021-08
ORD-2022-107459,2022-05-01,2022-05-03,Standard Class,CUST-00607,Fatima Martinez,Consumer,South,Charlotte,North Carolina,14501.0,Office Supplies,Art,OFF-ART-9210,Round Pencils,163.56,2,0.3,49.98,0.3056,2022,5,2022-05
ORD-2022-106853,2023-09-14,2023-09-17,Standard Class,CUST-03861,David Patel,Home Office,South,Orlando,Florida,48072.0,Office Supplies,Labels,OFF-LAB-1352,Shipping Labels,70.97,2,0.3,22.5,0.317,2023,9,2023-09
ORD-2022-102485,2023-02-15,2023-02-18,Second Class,CUST-01558,Patricia Garcia,Consumer,Central,Chicago,Illinois,89119.0,Office Supplies,Labels,OFF-LAB-6630,Address Labels,739.03,11,0.1,289.12,0.3912,2023,2,2023-02
ORD-2023-107598,2022-02-01,2022-01-06,First Class,CUST-00080,Robert Chen,Home Office,West,San Diego,California,19836.0,Office Supplies,Labels,OFF-LAB-6630,Address Labels,237.16,5,0.3,38.89,0.164,2022,2,2022-02
